video_id,trending_date,views,view_growth,view_growth_pct,view_velocity,engagement_rate,emerging_trend_score,emerging_status,trend_alert
ZqG90jzu2QE,2018-06-04,529146,381260.0,257.8066889360724,2.5780668893607244,10.22969086036746,97.72748203964781,Hot,True
2s4GMLkTNv0,2018-06-04,3733710,2584077.0,224.77408007598947,2.2477408007598947,10.507163116578417,97.5169948144547,Hot,True
RiyEX5gtyVY,2018-01-21,228067,144594.0,173.2224791249865,1.7322247912498652,11.702701399150248,96.87703573164804,Hot,True
3VCMKI3vbX8,2018-03-02,213449,149308.0,232.78090456962005,2.3278090456962004,8.836302817066372,96.7338458110517,Hot,True
tHmAPWOo2jY,2018-04-24,3030716,2262784.0,294.65942296974214,2.9465942296974212,8.023417568653745,96.71497393723328,Hot,True
s0_G-Kk6-Yg,2018-03-09,563003,407710.0,262.54241981286987,2.6254241981286985,7.834771750772199,96.33161157024793,Hot,True
BHHIlEv_YdY,2018-02-15,527810,321683.0,156.0605840088877,1.560605840088877,11.235671927398116,96.23532450170151,Hot,True
AaK8pFtg1BI,2018-06-05,73736,50900.0,222.89367665090208,2.2289367665090207,8.172398828252144,96.21065264948955,Hot,True
Xr2UE5SQCIU,2018-04-24,1682462,1014129.0,151.74007568083576,1.5174007568083576,11.259154738710295,96.12452904715605,Hot,True
u_nrjjXlO1M,2018-04-04,355997,300130.0,537.222331609,5.3722233160899995,6.63235926145445,95.87018243936691,Hot,True
xTpm58ztqEY,2018-02-28,189533,151583.0,399.4281949934124,3.9942819499341238,6.574580679881603,95.6840294657808,Hot,True
h1bV5A0Mqq4,2017-12-14,1310211,954666.0,268.5077838248323,2.685077838248323,7.068250838987003,95.6832766164317,Hot,True
niKoi5npA8w,2018-05-01,1223455,750777.0,158.83476700840743,1.5883476700840742,9.638768896281432,95.6359956517042,Hot,True
hHmYqnUftpA,2018-01-08,376401,234184.0,164.6666713543388,1.6466667135433881,9.232972282220292,95.62478393561281,Hot,True
gcx2UexjG3Y,2017-12-05,184755,119877.0,184.7729584759086,1.847729584759086,8.045790371031906,95.38165410792416,Hot,True
tugFFhML7VY,2018-03-04,2636267,1528142.0,137.90339537507052,1.3790339537507053,10.641486617250832,95.32053151839249,Hot,True
SgdVQY4kbho,2018-01-13,226950,147598.0,186.0041334811977,1.860041334811977,7.902181097157965,95.30197698914276,Hot,True
lQlNjjyQmiQ,2018-01-06,433396,259500.0,149.2271242581773,1.492271242581773,9.320575178358823,95.18650407821531,Hot,True
DkeiKbqa02g,2018-05-04,4177468,3150600.0,306.81645547431606,3.0681645547431606,6.299916600198972,95.11074987846379,Hot,True
__XgHijSqW8,2017-12-14,134940,78202.0,137.83002573231343,1.3783002573231342,10.156365792203943,95.10607748609085,Hot,True
O_whGoi_Q8Y,2018-02-11,101479,63947.0,170.3799424491101,1.703799424491101,8.185930093911056,95.10261370388376,Hot,True
